Sr. No.,Round No.,Period,State,Age,Gender,Average Monthly Income,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead, View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,Income Generating Agricultural Land
5190,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,5 and more,3,Daily Worker,Worsened,Will Worsen,Worsened,Will Improve,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,6-<7%,,No
5191,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,Graduate,5 and more,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
5192,23,May-2026,Sikkim,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,5 and more,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,40,No
5757,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,5th Std - Below 10th Std,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Remain The Same,Remained The Same,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased More Than Last Year,,9-<10%,,<1%,,Yes
5758,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,3,Daily Worker,Remained The Same,Will Worsen,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Less Than Current Rate,1-<2%,,<1%,,No
5759,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,3 or 4,1,Salaried Employee,Worsened,Will Worsen,Worsened,Will Worsen,Increased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,18,>=16%,87,No
5760,23,May-2026,Sikkim,21 to 29 years,Female,Rs. 50 thousand - Less than Rs. 1 lakh,12th Std,3 or 4,2,Salaried Employee,Worsened,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,6-<7%,,Yes
5761,23,May-2026,Sikkim,40 to 59 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,1 or 2,1,Self Employed,Worsened,Remain The Same,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,25,>=16%,30,Yes
5762,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,2,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Improve,Improved,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,4-<5%,,4-<5%,,Yes
5763,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Post Graduate,5 and more,1,Salaried Employee,Worsened,Will Improve,Improved,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,9-<10%,,8-<9%,,Yes
5764,23,May-2026,Sikkim,40 to 59 years,Male,Less than Rs. 5 thousand,Illiterate,3 or 4,2,Daily Worker,Worsened,Remain The Same,Worsened,Will Worsen,Decreased,Will Decrease,Decreased,Will Decrease,Decreased,Will Decrease,Decreased,Will Decrease,Decreased,Will Decrease,,,<1%,,<1%,,No
5765,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,1,Salaried Employee,Worsened,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,1-<2%,,1-<2%,,Yes
5766,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,1 or 2,2,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Improve,Worsened,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Decrease,Price Increased More Than Last Year,,4-<5%,,<1%,,No
5767,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Post Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,Yes
5768,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,5 and more,2,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Worsened,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,,Price Increase More Than Current Rate,<1%,,2-<3%,,No
5769,23,May-2026,Sikkim,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,3 or 4,2,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,6-<7%,,No
6108,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,3,Self Employed,Improved,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,10-<11%,,No
6109,23,May-2026,Sikkim,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Will Worsen,Remained The Same,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,4-<5%,,4-<5%,,No
6110,23,May-2026,Sikkim,60 years and above,Male,Less than Rs. 5 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Decreased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Remain The Same,Price Increased More Than Last Year,,>=16%,20,<1%,,No
6111,23,May-2026,Sikkim,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,1 or 2,1,Homemaker,Remained The Same,Will Improve,Improved,Will Improve,Increased,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,8-<9%,,No
6112,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Salaried Employee,Remained The Same,Remain The Same,Improved,Remain The Same,Decreased,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,10-<11%,,5-<6%,,Yes
6113,23,May-2026,Sikkim,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,40,>=16%,50,No
6114,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,1,Self Employed,Worsened,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Remain The Same,Remained The Same,Will Increase,Increased,Will Decrease,Price Increased More Than Last Year,,10-<11%,,<1%,,No
6115,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,10-<11%,,10-<11%,,No
6901,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Post Graduate,5 and more,2,Salaried Employee,Improved,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,2-<3%,,2-<3%,,No
6902,23,May-2026,Sikkim,21 to 29 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Worsened,Will Worsen,Worsened,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,15-<16%,,No
6903,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,2,Self Employed,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,3-<4%,,3-<4%,,No
6904,23,May-2026,Sikkim,21 to 29 years,Female,Less than Rs. 5 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Remained The Same,Will Improve,Worsened,Remain The Same,Decreased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,50,>=16%,55,No
6905,23,May-2026,Sikkim,30 to 39 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,Post Graduate,3 or 4,2,Salaried Employee,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,12-<13%,,7-<8%,,No
6906,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,3-<4%,,No
6907,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Improved,Will Worsen,Worsened,Will Worsen,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,15-<16%,,15-<16%,,No
6908,23,May-2026,Sikkim,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,2,Salaried Employee,Remained The Same,Remain The Same,Worsened,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,40,>=16%,60,No
6909,23,May-2026,Sikkim,60 years and above,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,2,Retired Person,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
7491,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,1 or 2,2,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
7492,23,May-2026,Sikkim,40 to 59 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,5 and more,1,Salaried Employee,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Decrease,Price Increased More Than Last Year,,>=16%,75,<1%,,No
7493,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Worsened,Will Improve,Remained The Same,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,>=16%,40,>=16%,40,No
7494,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Similar To Current Rate,3-<4%,,3-<4%,,No
7495,23,May-2026,Sikkim,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,1 or 2,1,Retired Person,Remained The Same,Will Improve,Improved,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,10-<11%,,No
7496,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,2,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase More Than Current Rate,10-<11%,,12-<13%,,No
7497,23,May-2026,Sikkim,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,2,Salaried Employee,Worsened,Will Improve,Improved,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Similar To Current Rate,3-<4%,,3-<4%,,No
7498,23,May-2026,Sikkim,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,1,Self Employed,Remained The Same,Will Improve,Improved,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,8-<9%,,No
7499,23,May-2026,Sikkim,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,3 or 4,2,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
7500,23,May-2026,Sikkim,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,5 and more,1,Self Employed,Remained The Same,Remain The Same,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,10-<11%,,10-<11%,,No
33,23,May-2026,Tamil Nadu,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,>=16%,20,No
